Bulgare,Francais
моите,exploiter
вижте,regarder
сърцето,cœur
мястото,lieu
бъдеш,être
зад,derrière
щях,Je voudrais
разбрах,compris
джон,John
месеца,mois
проблеми,problèmes
според,selon
пет,cinq
мислите,tu penses
прекалено,trop
кола,voiture
двама,deux
погледни,Regarder
намеря,trouver
правят,faire
дълго,long
някъде,quelque part
г,il
някакъв,quelques
цялото,tous
лесно,facilement
виждал,voir
звучи,des sons
оттук,d'ici
край,fin
любов,aimer
онзи,ce
дума,mot
чао,au revoir
кое,qui
обратно,en arrière
познавам,savoir
струва,valeur
шанс,chance
някого,quelque peu
отколкото,que
друга,autre
нашата,les notres
история,histoire
пътя,route
отиде,est allé
вода,eau
същото,le même
спокойно,calmement
получи,obtenu
джак,Jack
случило,événement
ало,allo
връзка,connexion
помогне,aider
долара,dollar
тялото,le corps
правите,tu fais
